PK,ID,InputID,ParticleID,SigmaV,Temperature,ScaleFactorID
1,7ca5a4c5-f8fd-4c3e-9dfe-1aa12e048392,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,1000000000000.0,e4e43bd7-7631-45be-843b-e480c5b36412
10,afc85952-693c-4a40-8254-8796d00efc79,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,895044782024.006,de08c64e-2e11-49aa-9dfa-05b3a51f8d3a
15,5cadaf65-f92b-4473-b408-15db3b120880,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,809411334791.072,1e91781a-1cec-445c-8b6c-8563f5994c9d
20,50407c13-cadc-4ea2-b979-fb337153953e,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,697931484375.559,755a0084-3414-44aa-95ea-a71897375508
25,8210131c-b303-4981-886f-f56a9828564f,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,624101188198.453,481ca9a1-a9e3-4b39-835e-3a1380e7a39b
30,40ec8041-461a-40f4-b1db-c7d75227b0a7,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,563398714611.006,ce2ca0b2-2688-40e3-8f87-ed28ebbe0ff0
35,6388364e-823f-4dc9-8b5d-9627d7f2afb4,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,503373131521.27,5c805a55-37d6-45b5-b192-37594feea0bb
40,2db30189-9f18-4c5a-82bd-13765df6a362,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,453232670783.435,8da58610-6ae6-4c42-b5c6-4f1e6102faf8
45,7a541b91-01ab-4994-ac28-360d31ff5fa5,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,403383165559.474,321cef74-54ed-4ab7-8727-26c7b610ffb4
50,7b776c3c-1e44-42db-846c-e9aa67716503,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.56696375255462e-39,361699492671.489,47074a1f-4459-4746-b705-a9f5d6c6143e
